ZOO
ILS	18	0.718634	0.797581	2.53606	860681
ILS_ES	28	0.718036	0.840843	3.98961	860681
ILS	27	0.600638	0.719059	2.73007	980472
ILS_ES	25	0.641449	0.751098	4.01553	980472
ILS	24	0.715431	0.820694	2.40325	206894
ILS_ES	17	0.732119	0.806681	3.97482	206894
ILS	12	0.710826	0.763458	2.95513	954919
ILS_ES	9	0.733168	0.772642	3.8578	954919
ILS	16	0.733622	0.803798	2.67291	426969
ILS_ES	47	0.602376	0.808517	3.92525	426969
GLASS
ILS	38	0.249065	0.276898	9.3597	860681
ILS_ES	60	0.250192	0.294138	12.7128	860681
ILS	39	0.250347	0.278912	9.39175	980472
ILS_ES	66	0.25066	0.299	12.5637	980472
ILS	22	0.248096	0.264209	9.56355	206894
ILS_ES	60	0.248143	0.292088	13.0117	206894
ILS	39	0.250713	0.279277	9.79427	954919
ILS_ES	45	0.250371	0.28333	13.8573	954919
ILS	27	0.250981	0.270756	9.11912	426969
ILS_ES	40	0.250345	0.279642	13.2244	426969
BUPA
ILS	227	0.131312	0.173255	62.8483	860681
ILS_ES	867	0.160763	0.320963	32.4033	860681
ILS	213	0.12656	0.165917	62.4189	980472
ILS_ES	575	0.158431	0.264677	32.2683	980472
ILS	206	0.120883	0.158946	63.4324	206894
ILS_ES	574	0.160471	0.266531	31.7343	206894
ILS	223	0.130892	0.172097	62.2904	954919
ILS_ES	602	0.161257	0.272491	31.4522	954919
ILS	199	0.127776	0.164547	60.6046	426969
ILS_ES	710	0.151731	0.282921	31.6463	426969
